LowRank_U	LowRank_V	p7	p8	Top1avgRec	Top1stdRec	Top2avgRec	Top2stdRec	Top3avgRec	Top3stdRec	Top4avgRec	Top4stdRec
 1024	    2	0.99	0.99	0.2447	0.0076802	0.49533	0.0078949	0.71604	0.0062721	0.88654	0.005819
 1024	    3	0	0	0.1345	0.019933	0.32661	0.03165	0.5619	0.043795	0.8049	0.019437
 1024	    3	0	0.33	0.13081	0.020345	0.29807	0.033667	0.49891	0.030271	0.77877	0.026187
 1024	    3	0	0.66	0.12932	0.035565	0.29382	0.040943	0.52952	0.029538	0.7848	0.033088
 1024	    3	0	0.99	0.11831	0.025157	0.29905	0.031228	0.52021	0.021006	0.78426	0.013431
 1024	    3	0.33	0	0.25059	0.022235	0.49562	0.0059459	0.71607	0.0062087	0.88665	0.005947
 1024	    3	0.33	0.33	0.23368	0.022347	0.50058	0.016323	0.71586	0.0053761	0.88629	0.0055393
 1024	    3	0.33	0.66	0.25157	0.017282	0.50375	0.015724	0.71672	0.0067468	0.88654	0.005819
 1024	    3	0.33	0.99	0.24648	0.018789	0.50861	0.014925	0.71604	0.0078115	0.88664	0.0059339
 1024	    3	0.66	0	0.25811	0.0099087	0.5054	0.0070588	0.71838	0.0070101	0.88651	0.0058729
 1024	    3	0.66	0.33	0.24836	0.013187	0.5043	0.014385	0.71613	0.0062618	0.88654	0.005819
 1024	    3	0.66	0.66	0.24724	0.012227	0.50065	0.014821	0.7157	0.0055471	0.88654	0.005819
 1024	    3	0.66	0.99	0.25725	0.015206	0.49728	0.003135	0.71697	0.0065131	0.88661	0.005895
 1024	    3	0.99	0	0.24341	0.0071444	0.49248	0.0080592	0.71834	0.005925	0.88654	0.005819
 1024	    3	0.99	0.33	0.24443	0.0044539	0.49344	0.0078354	0.71666	0.0066819	0.88654	0.005819
 1024	    3	0.99	0.66	0.24951	0.0093194	0.49791	0.014501	0.7158	0.0061546	0.88654	0.005819
 1024	    3	0.99	0.99	0.24442	0.0084631	0.49766	0.011408	0.71809	0.005268	0.88654	0.005819
 1024	    4	0	0	0.11525	0.018458	0.27398	0.022131	0.50519	0.042261	0.77771	0.026856
 1024	    4	0	0.33	0.13502	0.027478	0.2921	0.020134	0.51685	0.021482	0.77392	0.025587
 1024	    4	0	0.66	0.10605	0.030756	0.27383	0.052123	0.51169	0.039584	0.77713	0.035789
 1024	    4	0	0.99	0.1078	0.04511	0.27309	0.038689	0.52365	0.034945	0.77387	0.033884
 1024	    4	0.33	0	0.22876	0.020654	0.49718	0.015024	0.71671	0.0068851	0.88651	0.0058729
 1024	    4	0.33	0.33	0.238	0.021886	0.49121	0.015218	0.71569	0.0063021	0.88651	0.0057818
 1024	    4	0.33	0.66	0.23506	0.011612	0.49446	0.0079778	0.7138	0.0091868	0.88623	0.0063715
 1024	    4	0.33	0.99	0.23202	0.020646	0.49357	0.018865	0.71436	0.007858	0.8863	0.005559
 1024	    4	0.66	0	0.24447	0.018178	0.49279	0.0048512	0.71796	0.0057197	0.88654	0.005819
 1024	    4	0.66	0.33	0.24263	0.012512	0.50301	0.013957	0.71666	0.0059111	0.88711	0.00583
 1024	    4	0.66	0.66	0.24394	0.017592	0.49234	0.0083828	0.71596	0.0057466	0.88654	0.005819
 1024	    4	0.66	0.99	0.2621	0.011734	0.49794	0.0060612	0.71647	0.0063896	0.88654	0.005819
 1024	    4	0.99	0	0.25242	0.01741	0.4976	0.015684	0.71846	0.0062523	0.88654	0.005819
 1024	    4	0.99	0.33	0.25104	0.014158	0.49683	0.016335	0.71741	0.0062895	0.88654	0.005819
 1024	    4	0.99	0.66	0.25599	0.012528	0.51009	0.011498	0.71813	0.0054692	0.88654	0.005819
 1024	    4	0.99	0.99	0.24316	0.0091324	0.49846	0.017491	0.7156	0.0054044	0.88654	0.005819
 1024	    5	0	0	0.12911	0.021977	0.29881	0.033171	0.54993	0.031285	0.79577	0.037094
 1024	    5	0	0.33	0.091109	0.029261	0.27537	0.056987	0.51239	0.072215	0.77579	0.053647
 1024	    5	0	0.66	0.11353	0.023213	0.25997	0.03326	0.51185	0.029204	0.78559	0.030254
