Index	ZINCID	InChIKey	SMILES
152	ZINC00003961	FEROPKNOYKURCJ-CYBMUJFWSA-O	COc1cc(N)c(cc1C(=O)N[C@@H]1C[NH+]2CCC1CC2)Cl
153	ZINC00004009	RFHAOTPXVQNOHP-UHFFFAOYSA-N	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
154	ZINC00004028	KFQYTPMOWPVWEJ-INIZCTEOSA-O	CCC[NH+]([C@H]1CCc2c(C1)cccc2O)CCc1cccs1
155	ZINC00004035	NCNFDKWULDWJDS-OAHLLOKOSA-O	O=C1[C@H](CCc2c1c1cccc3c1n2CCC3)Cn1cc[nH+]c1C
156	ZINC00004041	GGUSQTSTQSHJAH-HXUWFJFHSA-O	C1C[NH+](CCC1CC2=CC=C(C=C2)F)C[C@H](C3=CC=C(C=C3)Cl)O
157	ZINC00004076	AMKVXSZCKVJAGH-UHFFFAOYSA-O	CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CC[NH+](CC1)C
158	ZINC00004085	CQGVAZZNWNPZBE-UHFFFAOYSA-N	Sc1nccn1CCc2cccs2
159	ZINC00004090	GSLWRDKYYIQKIM-TZMCWYRMSA-O	CCC[NH+]1CCC[C@H]2[C@H]1COc1c2cc(cc1)O
160	ZINC00004140	HDTOQYUZMCNTBZ-SNVBAGLBSA-O	C[NH+]1CCC2(CC1)CC(=C)[C@H](O2)C
161	ZINC00004220	ZGEGOFCLSWVVKG-UHFFFAOYSA-N	CC(C)N1C2=CC=CC=C2N3C=NC(=C3C1=O)C4=NOC(=N4)C5CC5
162	ZINC00004227	CDOZDBSBBXSXLB-HNNXBMFYSA-O	CC[NH+](CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
163	ZINC00004234	ZJVFLBOZORBYFE-UHFFFAOYSA-N	CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C
164	ZINC00004264	LFBZZHVSGAHQPP-UHFFFAOYSA-N	Nc1ccc(cc1)C1=NN=C(Cc2c1cc1OCOc1c2)C
165	ZINC00004285	VHFVKMTVMIZMIK-UHFFFAOYSA-O	C1CN(CC[NH2+]1)C2=CC(=CC=C2)Cl
166	ZINC00004294	QKIVRALZQSUWHH-SFYZADRCSA-M	CN(CC(=O)NO)C(=O)C1CCCCC1C(=O)[O-]
167	ZINC00004321	UBQNRHZMVUUOMG-UHFFFAOYSA-N	C1=CC=C2C(=C1)C(=NO2)CS(=N)(=O)O
168	ZINC00004333	RAHIHNWEZPLHGV-WEVVVXLNSA-N	CCOC(=O)C(=CC1=CC(=C(C=C1)O)O)C#N
169	ZINC00004346	SDWUPSHVUBKGKN-UHFFFAOYSA-N	CC1=C(N=CN1)CC2=NC(=CS2)C3=CC=CC=C3
170	ZINC00004351	ZCVMWBYGMWKGHF-UHFFFAOYSA-O	[H+].CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1
171	ZINC00004382	MKTVMEMIKNBVHI-YUMQZZPRSA-N	CC(C(=O)NC1CCSC1=O)SC(=O)C2=CC=CS2
172	ZINC00004413	XSVMFMHYUFZWBK-NSHDSACASA-O	[H+].CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C
173	ZINC00004439	PJYVGMRFPFNZCT-UHFFFAOYSA-O	O=c1ccc2c([nH]1)c(c[nH]2)C1=CC[NH2+]CC1
174	ZINC00004448	FELGMEQIXOGIFQ-CYBMUJFWSA-O	CC1=[N+](C=CN1)CC2CCC3=C(C2=O)C4=CC=CC=C4N3C
175	ZINC00004507	LIFDPEORUVTOCP-UHFFFAOYSA-N	CCCC(=O)N(Cc1c(nc2n1cccc2)c1ccc(cc1)Cl)C
176	ZINC00004531	WIQRCHMSJFFONW-HNNXBMFYSA-O	C1=CC=C(C=C1)C(CC[NH3+])OC2=CC=C(C=C2)C(F)(F)F
177	ZINC00004620	MZRKHUUDDHJVHS-AGUYFDCRSA-O	CCn1c(=O)n(c2c1cccc2)C(=O)NC1C[C@@H]2CC[C@H](C1)[NH+]2C
178	ZINC00004689	WHXMKTBCFHIYNQ-VIFPVBQESA-N	CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N
179	ZINC00004726	HHHDJHHNEURCNV-UHFFFAOYSA-N	C1=CC(=CC=C1S(=O)(=O)N)Cl
180	ZINC00004739	JRCSIJIHRYHSEY-UHFFFAOYSA-N	FC(F)(F)C1=Nc2ccccc2C(=O)N1c3ccccc3
181	ZINC00004763	KNBSYZNKEAWABY-UHFFFAOYSA-L	[O-]C(=O)CCc1c([nH]c2c1c(Cl)cc(c2)Cl)C(=O)[O-]
